Spud Date,Total Depth Date,LONG,LAT,API Well Number
19840924,19850310,-87.95863,30.18845,12032016500
19911127,19920427,-87.941465,30.181533,12032027100
20020328,20020731,-87.95388,30.18845,12032029300
20090102,20090508,-87.97733,30.19592,12032030900
19600715,19600801,-89.516296,29.196288,1.7075E+11
19530401,19530403,-89.512183,29.176753,1.7075E+11
19630708,19630730,-89.496028,29.190518,1.7075E+11
19631219,19631231,-89.497653,29.195931,1.7075E+11
19600501,19600601,-89.497033,29.181827,1.7075E+11
19630906,19630930,-89.496028,29.190517,1.7075E+11
19631207,19631230,-89.484878,29.198639,1.7075E+11
19640411,19640420,-89.51724,29.187404,1.7075E+11
19640624,19640705,-89.507944,29.190162,1.7075E+11
19621109,19621130,-89.506913,29.190835,1.70751E+11
19591028,19591110,-93.599295,29.691138,1.77E+11
19591124,19591209,-93.61386,29.690544,1.77E+11
19591222,19600114,-93.59171,29.691412,1.77E+11
19600223,19600304,-93.603466,29.697535,1.77E+11
19600126,19600211,-93.584098,29.691639,1.77E+11
19600507,19600515,-93.577438,29.691623,1.77E+11
19600326,19600405,-93.58774,29.690971,1.77E+11
19600416,19600424,-93.595516,29.691475,1.77E+11
19560506,19560616,-93.608813,29.669865,1.77E+11
19570619,19570620,-93.602918,29.675169,1.77E+11
19570919,19571022,-93.614756,29.674985,1.77E+11
19571111,19580111,-93.600501,29.670009,1.77E+11
19580204,19580315,-93.603553,29.676258,1.77E+11
19580618,19580724,-93.611839,29.681775,1.77E+11
19580816,19580914,-93.593517,29.684017,1.77E+11
19581018,19581127,-93.598103,29.677887,1.77E+11
19581129,19590120,-93.58664,29.686336,1.77E+11
19591102,19591203,-93.60838,29.685474,1.77E+11
19630225,19630307,-93.592365,29.688631,1.77E+11
19590128,19590424,-93.587476,29.667511,1.77E+11
19590427,19590704,-93.597407,29.661041,1.77E+11
19490414,19490521,-93.593366,29.649836,1.77E+11
19480812,19481106,-93.593366,29.649836,1.77E+11
19490105,19490318,-93.593366,29.649836,1.77E+11
19490605,19490805,-93.593366,29.649836,1.77E+11
19680321,19680409,-93.593366,29.649836,1.77E+11
19491103,19500108,-93.593355,29.6499,1.77E+11
19550420,19550624,-93.593366,29.649836,1.77E+11
