API Well Number,Spud Date,Total Depth Date,LONG,LAT
012032016500,19840924,19850310,-87.958630,30.188450
012032027100,19911127,19920427,-87.941465,30.181533
012032029300,20020328,20020731,-87.953880,30.188450
012032030900,20090102,20090508,-87.977330,30.195920
170750244200,19600715,19600801,-89.516296,29.196288
170750244400,19530401,19530403,-89.512183,29.176753
170750244800,19630708,19630730,-89.496028,29.190518
170750245000,19631219,19631231,-89.497653,29.195931
170750245100,19600501,19600601,-89.497033,29.181827
170750245600,19630906,19630930,-89.496028,29.190517
170750245700,19631207,19631230,-89.484878,29.198639
170750407500,19640411,19640420,-89.517240,29.187404
170750407600,19640624,19640705,-89.507944,29.190162
170750560000,19621109,19621130,-89.506913,29.190835
177000000600,19591028,19591110,-93.599295,29.691138
177000000700,19591124,19591209,-93.613860,29.690544
177000000800,19591222,19600114,-93.591710,29.691412
177000000900,19600223,19600304,-93.603466,29.697535
177000001000,19600126,19600211,-93.584098,29.691639
177000001100,19600507,19600515,-93.577438,29.691623
177000001200,19600326,19600405,-93.587740,29.690971
177000001300,19600416,19600424,-93.595516,29.691475
177000001400,19560506,19560616,-93.608813,29.669865
177000001500,19570619,19570620,-93.602918,29.675169
177000001600,19570919,19571022,-93.614756,29.674985
177000001700,19571111,19580111,-93.600501,29.670009
177000001800,19580204,19580315,-93.603553,29.676258
177000001900,19580618,19580724,-93.611839,29.681775
177000002000,19580816,19580914,-93.593517,29.684017
177000002100,19581018,19581127,-93.598103,29.677887
177000002200,19581129,19590120,-93.586640,29.686336
177000002300,19591102,19591203,-93.608380,29.685474
177000002400,19630225,19630307,-93.592365,29.688631
177000002500,19590128,19590424,-93.587476,29.667511
177000002600,19590427,19590704,-93.597407,29.661041
177000002702,19490414,19490521,-93.593366,29.649836
177000002770,19480812,19481106,-93.593366,29.649836
177000002771,19490105,19490318,-93.593366,29.649836
177000002800,19490605,19490805,-93.593366,29.649836
177000002801,19680321,19680409,-93.593366,29.649836
177000002900,19491103,19500108,-93.593355,29.649900
177000003000,19550420,19550624,-93.593366,29.649836
177000003100,19550726,19551128,-93.593366,29.649836
177000003200,19551210,19560105,-93.593366,29.649836
177000003300,19560111,19560302,-93.593366,29.649836
177000003400,19560425,19560527,-93.593388,29.649836
177000003500,19561230,19570305,-93.593366,29.649836
177000003600,19570416,19570609,-93.609555,29.647136
177000003800,19570605,19570709,-93.622778,29.638791
177000003900,19561026,19561231,-93.627146,29.646571
177000004200,19631008,19631009,-93.738003,29.670447
177000004300,19730804,19730816,-93.730580,29.694512
177000004400,19630907,19630907,-93.731440,29.711985
177000004500,19570201,19570201,-93.751576,29.704274
177000005000,19700508,19700523,-93.161918,29.441701
177000005200,19601019,19610126,-93.638818,29.503847
177000005300,19610217,19610303,-93.643156,29.513910
177000005400,19610514,19610605,-93.615645,29.499836
177000005500,19630718,19630730,-93.594800,29.537578
177000009600,19571027,19590310,-93.021381,29.670752
177000009670,19570616,19570828,-93.021381,29.670752
177000009671,19570828,19571027,-93.021381,29.670752
177000009700,19571217,19580626,-93.029225,29.670565
177000009800,19591009,19600209,-93.028533,29.662763
177000009900,19620812,19620924,-93.051055,29.664118
177000010000,19630122,19630205,-93.039723,29.665847
177000010300,19580920,19581230,-93.034695,29.626435
177000010301,20010226,20010320,-93.034695,29.626435
177000010400,19590801,19590827,-93.034705,29.626459
177000010470,19590112,19590201,-93.034705,29.626459
177000010471,19590201,19590401,-93.034705,29.626459
177000010472,19590401,19590801,-93.034705,29.626459
177000010500,19590616,19590907,-93.049418,29.631300
177000010600,19600307,19600425,-93.028414,29.631194
177000010700,19600521,19600702,-93.020853,29.639064
177000010800,19621015,19621212,-93.021143,29.648783
177000010900,19630324,19630529,-93.044606,29.650475
177000011000,19591113,19591202,-93.080199,29.645215
177000011100,19580311,19580425,-93.088909,29.647085
177000011200,19580120,19580309,-93.144909,29.630701
