State, Facility Name, Facility ID (ORISPL), Year, CO2 (short tons), Facility Latitude, Facility Longitude
AK,Healy Power Plant,6288,2021,,63.8542,-148.95
AL,AMEA Sylacauga Plant,56018,2021,328.9,33.1661,-86.2825
AL,Ascend (Decatur Plant),880041,2021,,34.6339,-87.0244
AL,Barry,3,2021,1409705.475,31.0069,-88.0103
AL,Calhoun Energy Center,55409,2021,10714.771,33.5883,-85.9731
AL,Central Alabama Gen Station,55440,2021,544467.314,32.6503,-86.7386
AL,Colbert,47,2021,8976.5,34.7439,-87.8486
AL,Decatur Energy Center,55292,2021,153534.694,34.6292,-87.0214
AL,E B Harris Generating Plant,7897,2021,392748.475,32.3814,-86.5736
AL,E C Gaston,26,2021,1534857.525,33.2442,-86.4567
AL,Gadsden,7,2021,,34.0128,-85.9708
AL,Greene County,10,2021,47503.228,32.6017,-87.7811
AL,Hillabee Energy Center,55411,2021,523079.287,33,-85.9031
AL,Hog Bayou Energy Center,55241,2021,177654.115,30.7478,-88.0575
AL,International Paper-Prattville Mill,52140,2021,,32.4167,-86.4667
AL,James H Miller Jr,6002,2021,5732212.7,33.6319,-87.0597
AL,McIntosh (7063),7063,2021,41120.664,31.2546,-88.0299
AL,McWilliams,533,2021,441974.291,31.4001,-86.4767
AL,Morgan Energy Center,55293,2021,466395.846,34.6397,-87.0639
AL,Plant H. Allen Franklin,7710,2021,1113921.975,32.6094,-85.0961
AL,SABIC Innovative Plastics - Burkville,7698,2021,85696.9,32.3102,-86.5242
AL,Tenaska Lindsay Hill Generating Station,55271,2021,114039.368,32.6514,-86.7386
AL,Theodore Cogeneration,7721,2021,201553.2,30.5248,-88.1289
AL,Walton Discover Power Facility,55138,2021,,32.5412,-85.0384
AL,Washington County Cogen (Olin),7697,2021,142334,31.2622,-88.0052
AR,Carl Bailey,202,2021,,35.2597,-91.3631
AR,City Water & Light - City of Jonesboro,56505,2021,3291.7,35.8481,-90.7257
AR,Dell Power Plant,55340,2021,243191.364,35.8619,-90.0253
AR,Flint Creek Power Plant,6138,2021,854090.1,36.2561,-94.5241
AR,Fulton,7825,2021,22033.417,33.6094,-93.7924
AR,Harry D. Mattison Power Plant,56328,2021,21764.7,36.1855,-94.2841
AR,Hot Spring Energy Facility,55418,2021,260864.399,34.2963,-92.8683
AR,Independence,6641,2021,1275073.588,35.6733,-91.4083
AR,John W. Turk Jr. Power Plant,56564,2021,655939.287,33.6497,-93.8119
AR,Lake Catherine,170,2021,1083.874,34.4341,-92.9046
