State, Facility Name, Facility ID (ORISPL), Year, Gross Load (MW-h), CO2 (short tons), Heat Input (MMBtu), Facility Latitude, Facility Longitude,CO2 (Mt)
AK,Healy Power Plant,6288,2020,214289.1,,,63.8542,-148.95,0
AL,AMEA Sylacauga Plant,56018,2020,43195,24690.5,418583.2,33.1661,-86.2825,0.022398851
AL,Ascend (Decatur Plant),880041,2020,,,3863106.802,34.6339,-87.0244,0
AL,Barry,3,2020,11671959.25,6846726.2,91895874.8,31.0069,-88.0103,6.211247308
AL,Calhoun Energy Center,55409,2020,39084.61,25547.344,422671.26,33.5883,-85.9731,0.023176167
AL,Central Alabama Gen Station,55440,2020,5393189.94,2391941.297,40248912.81,32.6503,-86.7386,2.169933266
AL,Charles R Lowman,56,2020,394508.34,414894.287,4043808.636,31.4858,-87.9106,0.376385874
AL,Colbert,47,2020,3731,3304.1,53425,34.7439,-87.8486,0.00299743
AL,Decatur Energy Center,55292,2020,1533588.52,654223.054,11008537.46,34.6292,-87.0214,0.593501341
AL,E B Harris Generating Plant,7897,2020,4530633.5,1828239.85,30763680.4,32.3814,-86.5736,1.658551768
AL,E C Gaston,26,2020,4158876.75,3832358.702,44005747.7,33.2442,-86.4567,3.476658329
AL,Gadsden,7,2020,,52695.925,886757.55,34.0128,-85.9708,0.047804953
AL,Greene County,10,2020,1149777.75,696954.552,11641749.93,32.6017,-87.7811,0.632266715
AL,Hillabee Energy Center,55411,2020,5419479.53,2185607.354,36777104.6,33,-85.9031,1.982750207
AL,Hog Bayou Energy Center,55241,2020,1678539.05,751871.215,12651626.19,30.7478,-88.0575,0.682086288
AL,"Indorama Ventures Xylenes and PTA, LLC",880075,2020,,,1026400,34.64,-87.0583,0
AL,International Paper-Prattville Mill,52140,2020,,,6414137.994,32.4167,-86.4667,0
AL,International Paper-Riverdale Mill,54096,2020,64748.81,,1092160.103,32.425,-86.8694,0
AL,James H Miller Jr,6002,2020,17593673,18846905.23,179699736.4,33.6319,-87.0597,17.09762972
AL,McIntosh (7063),7063,2020,384033.92,237737.219,4000347.393,31.2546,-88.0299,0.215671639
AL,McWilliams,533,2020,2874437.72,1776162.766,29887417.48,31.4001,-86.4767,1.611308219
AL,Morgan Energy Center,55293,2020,2954042.44,1324531.448,22287849.86,34.6397,-87.0639,1.201595062
AL,Plant H. Allen Franklin,7710,2020,12975784.75,5195443.6,87423375.63,32.6094,-85.0961,4.713228502
AL,SABIC Innovative Plastics - Burkville,7698,2020,900489.75,367013.7,6175748.55,32.3102,-86.5242,0.332949323
AL,Tenaska Lindsay Hill Generating Station,55271,2020,1873034.84,861178.546,14490465.1,32.6514,-86.7386,0.781248259
AL,Theodore Cogeneration,7721,2020,2066916,787360.525,13248743.35,30.5248,-88.1289,0.714281658
AL,Walton Discover Power Facility,55138,2020,78.31,,1130.104,32.5412,-85.0384,0
AL,Washington County Cogen (Olin),7697,2020,1065879,471835.7,7939410.125,31.2622,-88.0052,0.42804227
AL,"WestRock CP, LLC",880101,2020,,,848070,34.838,-85.7865,0
AL,WestRock Coated Board,54802,2020,72268.02,,1530859.1,32.175,-85.0311,0
AR,Carl Bailey,202,2020,,3185.11,44763.78,35.2597,-91.3631,0.002889484
AR,City Water & Light - City of Jonesboro,56505,2020,10558,6666.9,112600.1,35.8481,-90.7257,0.006048112
AR,Dell Power Plant,55340,2020,2883481,1275819.427,21468053.05,35.8619,-90.0253,1.157404247
AR,Flint Creek Power Plant,6138,2020,1992175.7,2105410.454,20074444.36,36.2561,-94.5241,1.909996783
AR,Fulton,7825,2020,71817.86,44726.938,752603.74,33.6094,-93.7924,0.040575607
AR,Harry D. Mattison Power Plant,56328,2020,54955.55,40779.1,691161.8,36.1855,-94.2841,0.036994188
AR,Hot Spring Energy Facility,55418,2020,1178092.55,514608.998,8659294.141,34.2963,-92.8683,0.466845564
AR,Independence,6641,2020,3135437.61,3688666.339,35188269.12,35.6733,-91.4083,3.346302773
AR,John W. Turk Jr. Power Plant,56564,2020,3750486.85,3441534.109,32814037.89,33.6497,-93.8119,3.122108121
AR,Lake Catherine,170,2020,499278.63,311859.148,5247637.251,34.4341,-92.9046,0.282913941
AR,Magnet Cove Generating Station,55714,2020,1910907.64,723762.398,12178633.16,34.4304,-92.8333,0.656586391
AR,McClellan,203,2020,,23141.59,388052.698,33.5648,-92.7917,0.020993703
AR,Oswald Generating Station,55221,2020,450951.89,210578.029,3543324.762,34.5923,-92.2166,0.191033229
AR,Pine Bluff Energy Center,55075,2020,1821994.49,744360.373,12525257.62,34.2181,-91.9025,0.675272565
AR,Plum Point Energy Station,56456,2020,3579076.9,3713368.926,35408538.77,35.6626,-89.9469,3.368712589
AR,Thomas Fitzhugh,201,2020,434254.39,223336.403,3751482.31,35.4617,-93.8053,0.202607435
AR,Union Power Station,55380,2020,9806019.49,4169027.528,70151888.79,33.2961,-92.5933,3.782079238
AR,White Bluff,6009,2020,4195520.34,4824080.41,46014977.17,34.4236,-92.1392,4.376333387
AZ,APS Saguaro Power Plant,118,2020,85136.18,68982.795,1160786.078,32.5517,-111.3,0.062580157
AZ,APS West Phoenix Power Plant,117,2020,2722604.8,1211403.972,20384204.65,33.4417,-112.1583,1.098967512
AZ,Agua Fria Generating Station,141,2020,341821.36,210779.456,3546740.864,33.5542,-112.2161,0.191215961
AZ,Apache Station,160,2020,2351590.92,1683841.084,24173837.74,32.0619,-109.8931,1.527555374
AZ,Arlington Valley Energy Facility,55282,2020,2190943.52,924781.924,15561216.58,33.3417,-112.8897,0.83894829
AZ,Black Mountain Generating Station,56482,2020,170083.93,100307.529,1687855.524,35.0361,-114.1594,0.090997486
AZ,Cholla,113,2020,3527615.59,4176620.563,40707844.84,34.9394,-110.3033,3.788967525
AZ,Coolidge Generating Station,56948,2020,515357.27,309870.42,5214119.697,32.9175,-111.5041,0.281109797
AZ,Coronado Generating Station,6177,2020,2999770.6,3460853.88,32998176.89,34.5778,-109.2717,3.139634727
