State, Facility Name, Facility ID (ORISPL), Unit ID, Year, Source Category, Facility Latitude, Facility Longitude, Owner, Operator, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), Commercial Operation Date, Operating Status, Max Hourly HI Rate (MMBtu/hr)
AK,Healy Power Plant,6288,1,2020,Electric Utility,63.8542,-148.95,"Golden Valley Electric Association, Inc.","Golden Valley Electric Association, Inc.",Dry bottom wall-fired boiler,Coal,,11/1/1967,Operating,327
AK,Healy Power Plant,6288,2,2020,Electric Utility,63.8542,-148.95,"Golden Valley Electric Association, Inc.","Golden Valley Electric Association, Inc.",Dry bottom wall-fired boiler,Coal,,6/1/1997,Operating,658
AL,AMEA Sylacauga Plant,56018,1,2020,Electric Utility,33.1661,-86.2825,Alabama Municipal Electric Authority,Alabama Municipal Electric Authority,Combustion turbine,Pipeline Natural Gas,,5/4/2004,Operating,500
AL,AMEA Sylacauga Plant,56018,2,2020,Electric Utility,33.1661,-86.2825,Alabama Municipal Electric Authority,Alabama Municipal Electric Authority,Combustion turbine,Pipeline Natural Gas,,5/4/2004,Operating,500
AL,Ascend (Decatur Plant),880041,X015,2020,Industrial Boiler,34.6339,-87.0244,Ascend Performance Materials Operations. LLC,Ascend Performance Materials Operations. LLC,Dry bottom wall-fired boiler,Natural Gas,"Process Gas, Waste Liquid",1/1/1974,Operating,662.5
AL,Ascend (Decatur Plant),880041,Z006,2020,Industrial Boiler,34.6339,-87.0244,Ascend Performance Materials Operations. LLC,Ascend Performance Materials Operations. LLC,Stoker,Coal,,1/1/1965,Operating,320
AL,Barry,3,1,2020,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Tangentially-fired,Pipeline Natural Gas,,2/12/1954,Operating,2322
AL,Barry,3,2,2020,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Tangentially-fired,Pipeline Natural Gas,,7/12/1954,Operating,2359
AL,Barry,3,4,2020,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Tangentially-fired,Coal,Pipeline Natural Gas,12/31/1969,Operating,6372
AL,Barry,3,5,2020,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Tangentially-fired,Coal,Pipeline Natural Gas,10/19/1971,Operating,11057
AL,Barry,3,6A,2020,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Combined cycle,Pipeline Natural Gas,,3/14/2000,Operating,3000
AL,Barry,3,6B,2020,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Combined cycle,Pipeline Natural Gas,,3/21/2000,Operating,3000
AL,Barry,3,7A,2020,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Combined cycle,Pipeline Natural Gas,,1/13/2001,Operating,3000
AL,Barry,3,7B,2020,Electric Utility,31.0069,-88.0103,Alabama Power Company,Alabama Power Company,Combined cycle,Pipeline Natural Gas,,1/18/2001,Operating,3000
AL,Calhoun Energy Center,55409,CT1,2020,Electric Utility,33.5883,-85.9731,"Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,1/30/2003,Operating,1940
AL,Calhoun Energy Center,55409,CT2,2020,Electric Utility,33.5883,-85.9731,"Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,2/26/2003,Operating,1940
AL,Calhoun Energy Center,55409,CT3,2020,Electric Utility,33.5883,-85.9731,"Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,3/25/2003,Operating,1940
AL,Calhoun Energy Center,55409,CT4,2020,Electric Utility,33.5883,-85.9731,"Calhoun Power Company I, LLC","Calhoun Power Company I, LLC",Combustion turbine,Pipeline Natural Gas,Diesel Oil,4/23/2003,Operating,1940
AL,Central Alabama Gen Station,55440,CTGDB1,2020,Electric Utility,32.6503,-86.7386,"Alabama Power Company, Tenaska Alabama II Partners, LP","Alabama Power Company, Tenaska Alabama II Partners, LP",Combined cycle,Pipeline Natural Gas,Diesel Oil,1/15/2003,Operating,2860
