,name,emissions,storage
0,Gulf of Mexico Basin,46.398831269,1800000
1,Appalachian Basin,61.66471080902996,20000
2,Illinois Basin,37.48367022935001,150000
3,Williston Basin,7.2147538980000006,150000
4,Michigan Basin,12.405701815999999,57000
5,Western Washington - Oregon Basins,2.229946501,14000
6,Arkoma Basin - Ouachita Thrust Belt,4.827652646,7900
7,Anadarko Basin,1.00896548,62000
8,South Florida Basin,3.1576706,170000
9,Permian Basin,0.739741808,59000
10,Denver Basin,2.282393719,3700
11,Fort Worth Basin,4.073204898,15000
12,Powder River Basin,4.881844868,18000
13,Mississippi Ouachita Thrust Belt - Black Warrior Basin,2.701858951,310
14,San Juan Basin,3.155126063,740
15,San Joaquin Basin,1.2889009677000003,51000
16,Palo Duro Basin,0.373469318,7200
17,Sacramento Basin,2.283134619,29000
